Fecha,Prroductos,TotalConsumidoLt,miembro,year,month,day
36:29.7,jugo,2,abuela,2021,9,6
43:19.7,te,1,mama,2021,4,17
56:08.5,te,1,abuela,2021,11,24
27:55.3,agua,2,papa,2021,2,24
40:58.4,refresco,2,hija,2021,2,3
50:27.4,jugo,3,abuela,2021,10,30
37:57.2,agua,3,papa,2021,4,6
11:15.1,te,1,hijo,2021,6,17
48:53.2,refresco,1,abuela,2021,7,3
45:59.1,te,0,abuelo,2021,1,30
37:28.5,te,2,hijo,2021,11,3
29:54.3,jugo,3,abuelo,2021,9,25
19:10.7,refresco,1,abuelo,2021,2,1
56:13.5,agua,0,mama,2021,6,12
17:50.7,agua,1,papa,2021,7,14
09:12.0,agua,2,abuelo,2021,6,11
30:59.5,te,3,hija,2021,2,20
08:23.5,refresco,1,abuela,2021,3,9
50:32.1,agua,1,papa,2021,8,26
17:23.5,refresco,1,hijo,2021,10,22
39:10.8,refresco,1,papa,2021,6,3
53:14.5,agua,1,hija,2021,6,23
21:09.0,jugo,1,abuelo,2021,6,6
21:10.4,jugo,1,hija,2021,3,2
50:02.9,agua,0,hija,2021,2,17
21:03.7,jugo,2,papa,2021,11,1
50:27.9,agua,2,abuelo,2021,7,7
23:04.4,jugo,2,hijo,2021,7,17
17:49.8,jugo,1,hija,2021,7,27
04:23.7,agua,0,hija,2021,4,21
04:08.0,te,1,abuela,2021,8,23
35:10.9,jugo,2,mama,2021,2,15
51:43.8,agua,2,papa,2021,3,12
30:59.4,jugo,1,hija,2021,9,11
25:18.1,agua,0,abuela,2021,6,21
55:57.1,refresco,3,papa,2021,5,24
37:32.7,refresco,2,papa,2021,11,25
00:46.9,refresco,0,papa,2021,12,17
11:22.8,agua,3,hijo,2021,8,3
57:37.9,te,2,abuela,2021,1,22
05:43.6,agua,0,hijo,2021,8,17
38:30.2,refresco,2,hijo,2021,9,29
01:09.1,agua,1,abuelo,2021,9,18
08:10.6,te,0,hija,2021,7,2
27:07.8,jugo,0,abuela,2021,8,20
48:36.9,agua,1,mama,2021,2,9
07:17.8,jugo,1,hija,2021,10,12
17:41.6,jugo,2,hija,2021,1,29
32:24.5,agua,3,abuela,2021,10,21
08:01.8,jugo,3,hija,2021,2,27
48:47.6,refresco,1,abuela,2021,4,26
39:19.1,te,2,abuelo,2021,12,18
47:14.1,agua,1,abuela,2021,11,16
53:26.5,jugo,1,abuela,2021,3,5
25:22.4,refresco,2,hija,2021,8,16
43:15.2,te,1,hijo,2021,3,16
22:10.6,refresco,3,hija,2021,11,12
34:58.1,te,3,abuela,2021,9,25
37:52.4,te,2,mama,2021,1,7
19:54.8,refresco,0,hijo,2021,4,5
59:59.5,te,1,papa,2021,4,26
14:52.8,jugo,1,mama,2021,9,20
53:25.3,te,3,hija,2021,11,22
44:29.5,jugo,1,hijo,2021,3,15
41:51.1,jugo,2,hijo,2021,6,10
02:17.6,refresco,3,abuelo,2021,9,19
38:10.5,te,1,abuelo,2021,7,17
48:11.3,refresco,3,abuela,2021,5,23
30:55.3,te,3,hijo,2021,12,22
21:53.6,te,1,hija,2021,2,20
31:39.3,refresco,0,mama,2021,7,17
30:12.6,jugo,2,hija,2021,3,6
57:00.7,agua,1,hija,2021,8,7
52:54.2,refresco,2,abuela,2021,8,4
11:39.9,jugo,0,papa,2021,3,7
00:40.6,jugo,2,mama,2021,9,4
52:05.4,te,0,abuelo,2021,10,5
12:58.5,jugo,1,abuela,2021,12,5
54:02.6,jugo,1,mama,2021,7,14
01:25.9,jugo,2,hijo,2021,1,9
13:45.9,te,1,papa,2021,1,21
32:46.3,jugo,0,abuelo,2021,6,9
50:40.0,te,2,papa,2021,9,27
09:48.0,te,2,hija,2021,5,31
15:36.1,te,2,abuelo,2021,12,26
24:48.9,jugo,3,mama,2021,9,6
47:56.8,te,1,abuela,2021,4,1
58:17.3,jugo,1,abuela,2021,1,7
05:37.0,agua,2,papa,2021,1,27
42:02.9,refresco,2,hija,2021,4,7
33:46.4,te,3,mama,2021,7,13
02:34.6,te,2,abuela,2021,3,3
22:54.5,refresco,1,hija,2021,12,11
51:28.0,refresco,3,papa,2021,4,30
57:38.4,jugo,1,abuelo,2021,9,29
50:50.8,jugo,2,abuelo,2021,11,28
45:04.9,te,2,hija,2021,11,8
16:39.6,agua,3,hijo,2021,7,7
26:19.5,te,1,mama,2021,1,23
24:50.2,agua,1,mama,2021,12,1
10:26.5,agua,3,hijo,2021,7,26
19:06.5,refresco,1,abuelo,2021,5,22
46:46.3,jugo,2,mama,2021,2,7
10:30.8,refresco,2,hijo,2021,8,31
36:22.5,refresco,2,hijo,2021,8,13
18:35.0,agua,2,abuela,2021,2,21
42:18.4,agua,1,abuelo,2021,5,13
54:19.9,refresco,2,papa,2021,4,15
41:46.6,te,0,abuelo,2021,12,29
24:41.8,refresco,3,abuela,2021,12,13
51:09.8,te,1,mama,2021,6,12
09:12.2,refresco,2,abuelo,2021,12,8
40:55.5,refresco,2,mama,2021,3,15
36:26.5,refresco,3,abuelo,2021,12,30
06:08.9,refresco,2,abuela,2021,3,15
27:13.3,refresco,1,hijo,2021,11,18
24:12.8,jugo,3,papa,2021,12,24
43:37.3,te,1,hija,2021,6,25
28:53.4,jugo,2,mama,2021,3,20
17:02.2,jugo,2,abuelo,2021,10,5
14:20.8,refresco,1,hijo,2021,6,20
39:53.2,refresco,0,hijo,2021,7,10
42:34.3,jugo,1,abuelo,2021,4,27
48:52.4,agua,1,hijo,2021,9,16
48:07.2,te,1,abuela,2021,8,11
29:04.7,te,2,hijo,2021,5,17
07:18.1,refresco,1,hija,2021,3,27
05:32.7,te,1,hija,2021,4,9
55:15.8,agua,1,mama,2021,11,5
20:49.1,te,2,abuela,2021,4,9
15:35.7,jugo,3,abuelo,2021,10,28
35:25.8,agua,0,abuela,2021,3,31
46:39.0,agua,3,mama,2021,11,13
29:12.4,te,0,papa,2021,8,13
50:59.5,te,3,papa,2021,6,16
54:39.4,agua,2,hijo,2021,9,2
46:00.0,jugo,1,mama,2021,5,2
40:09.1,agua,0,abuelo,2021,1,28
33:25.5,agua,3,mama,2021,10,19
57:01.1,agua,0,hijo,2021,11,5
42:30.5,te,2,hijo,2021,4,26
53:37.0,jugo,3,abuela,2021,12,18
16:30.7,agua,0,papa,2021,1,10
40:55.3,te,2,abuela,2021,2,15
50:53.1,refresco,1,hijo,2021,10,27
24:34.3,agua,1,hijo,2021,8,5
21:39.1,jugo,0,mama,2021,12,20
46:28.0,jugo,1,abuela,2021,12,12
45:19.1,jugo,0,abuelo,2021,2,16
30:25.1,refresco,1,hijo,2021,11,12
26:38.0,te,2,abuelo,2021,12,5
01:27.6,jugo,2,hija,2021,5,17
47:46.2,jugo,1,abuelo,2021,4,20
09:17.3,te,2,hijo,2021,4,21
10:29.4,refresco,3,abuelo,2021,6,14
30:33.3,refresco,2,hija,2021,1,17
36:32.2,agua,0,hija,2021,1,25
57:53.8,refresco,2,abuela,2021,5,25
22:23.6,refresco,1,papa,2021,1,21
07:17.9,refresco,1,papa,2021,3,29
11:16.9,te,1,hijo,2021,11,28
36:45.8,refresco,3,abuela,2021,2,3
59:04.0,jugo,1,hija,2021,6,10
20:57.5,te,2,hija,2021,9,21
09:06.1,agua,0,papa,2021,2,15
15:44.0,agua,1,abuela,2021,3,14
22:33.2,agua,2,papa,2021,1,26
11:43.1,te,1,papa,2021,8,2
45:27.1,te,0,abuelo,2021,7,17
11:29.5,agua,0,hijo,2021,7,14
41:13.3,agua,3,abuelo,2021,7,20
44:03.7,te,2,hijo,2021,11,27
10:11.8,agua,1,hijo,2021,9,6
31:52.3,refresco,2,abuela,2021,5,16
34:31.7,jugo,1,abuela,2021,6,11
20:43.8,refresco,2,papa,2021,7,4
23:22.4,agua,3,hijo,2021,7,1
01:39.0,agua,2,hija,2021,3,13
