Fecha,Prroductos,TotalConsumidoLt,miembro,año,mes,dia
2021-09-06 04:36:29.712000000,jugo,2,abuela,2021,9,6
2021-04-17 16:43:19.691000000,te,1,mama,2021,4,17
2021-11-24 17:56:08.523000000,te,1,abuela,2021,11,24
2021-02-24 09:27:55.287000000,agua,2,papa,2021,2,24
2021-02-03 13:40:58.421000000,refresco,2,hija,2021,2,3
2021-10-30 17:50:27.374000000,jugo,3,abuela,2021,10,30
2021-04-06 06:37:57.201000000,agua,3,papa,2021,4,6
2021-06-17 19:11:15.123000000,te,1,hijo,2021,6,17
2021-07-03 15:48:53.186000000,refresco,1,abuela,2021,7,3
2021-01-30 13:45:59.118000000,te,0,abuelo,2021,1,30
2021-11-03 22:37:28.535000000,te,2,hijo,2021,11,3
2021-09-25 22:29:54.292000000,jugo,3,abuelo,2021,9,25
2021-02-01 11:19:10.739000000,refresco,1,abuelo,2021,2,1
2021-06-12 11:56:13.472000000,agua,0,mama,2021,6,12
2021-07-14 07:17:50.735000000,agua,1,papa,2021,7,14
2021-06-11 16:09:11.969000000,agua,2,abuelo,2021,6,11
2021-02-20 01:30:59.521000000,te,3,hija,2021,2,20
2021-03-09 18:08:23.493000000,refresco,1,abuela,2021,3,9
2021-08-26 00:50:32.129000000,agua,1,papa,2021,8,26
2021-10-22 03:17:23.480000000,refresco,1,hijo,2021,10,22
2021-06-03 05:39:10.814000000,refresco,1,papa,2021,6,3
2021-06-23 04:53:14.497000000,agua,1,hija,2021,6,23
2021-06-06 11:21:09.040000000,jugo,1,abuelo,2021,6,6
2021-03-02 07:21:10.404000000,jugo,1,hija,2021,3,2
2021-02-17 21:50:02.855000000,agua,0,hija,2021,2,17
2021-11-01 13:21:03.657000000,jugo,2,papa,2021,11,1
2021-07-07 07:50:27.860000000,agua,2,abuelo,2021,7,7
2021-07-17 21:23:04.423000000,jugo,2,hijo,2021,7,17
2021-07-27 08:17:49.803000000,jugo,1,hija,2021,7,27
2021-04-21 15:04:23.677000000,agua,0,hija,2021,4,21
2021-08-23 08:04:08.014000000,te,1,abuela,2021,8,23
2021-02-15 12:35:10.934000000,jugo,2,mama,2021,2,15
2021-03-12 01:51:43.806000000,agua,2,papa,2021,3,12
2021-09-11 15:30:59.414000000,jugo,1,hija,2021,9,11
2021-06-21 23:25:18.128000000,agua,0,abuela,2021,6,21
2021-05-24 13:55:57.097000000,refresco,3,papa,2021,5,24
2021-11-25 18:37:32.714000000,refresco,2,papa,2021,11,25
2021-12-17 14:00:46.934000000,refresco,0,papa,2021,12,17
2021-08-03 00:11:22.798000000,agua,3,hijo,2021,8,3
2021-01-22 21:57:37.901000000,te,2,abuela,2021,1,22
2021-08-17 20:05:43.594000000,agua,0,hijo,2021,8,17
2021-09-29 16:38:30.207000000,refresco,2,hijo,2021,9,29
2021-09-18 17:01:09.081000000,agua,1,abuelo,2021,9,18
2021-07-02 20:08:10.573000000,te,0,hija,2021,7,2
2021-08-20 01:27:07.786000000,jugo,0,abuela,2021,8,20
2021-02-09 19:48:36.945000000,agua,1,mama,2021,2,9
2021-10-12 01:07:17.800000000,jugo,1,hija,2021,10,12
2021-01-29 06:17:41.604000000,jugo,2,hija,2021,1,29
2021-10-21 06:32:24.458000000,agua,3,abuela,2021,10,21
2021-02-27 00:08:01.775000000,jugo,3,hija,2021,2,27
2021-04-26 23:48:47.590000000,refresco,1,abuela,2021,4,26
2021-12-18 07:39:19.116000000,te,2,abuelo,2021,12,18
2021-11-16 15:47:14.100000000,agua,1,abuela,2021,11,16
2021-03-05 02:53:26.475000000,jugo,1,abuela,2021,3,5
2021-08-16 13:25:22.375000000,refresco,2,hija,2021,8,16
